id,season,round,race_id,driver_id,constructor_id,driver_code,track_archetype,corner_speed_strength,braking_strength,throttle_pickup_strength,traction_exit_strength,straight_line_strength,energy_deployment_proxy_strength,lift_and_coast_tendency,clipping_risk_proxy,overtaking_attack_score,defending_strength_score,tyre_stress_proxy,traffic_sensitivity_score,undercut_suitability_score,high_degradation_risk_score,telemetry_proxy_confidence,telemetry_signal_source,proxy_note,source_label
2026-13-monza|norris,2026,13,2026-13-monza,norris,mclaren,NOR,power-sensitive,0.431029,0.195174,0.544505,0.602203,0.326721,0.303932,0.001035,0.305175,0.310998,0.36632,0.484322,0.426455,0.509623,0.374105,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|antonelli,2026,13,2026-13-monza,antonelli,mercedes,ANT,power-sensitive,0.331336,0.195683,0.560539,0.637835,0.324921,0.294731,0.0,0.333334,0.288545,0.372097,0.483995,0.434313,0.51108,0.380886,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|hamilton,2026,13,2026-13-monza,hamilton,ferrari,HAM,power-sensitive,0.319735,0.210805,0.560263,0.637085,0.332013,0.328001,0.0,0.27879,0.299585,0.384874,0.49168,0.430449,0.514493,0.391673,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|leclerc,2026,13,2026-13-monza,leclerc,ferrari,LEC,power-sensitive,0.343308,0.19733,0.570539,0.659971,0.326338,0.309919,0.0,0.29074,0.295158,0.381828,0.486293,0.431999,0.514124,0.395924,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|max_verstappen,2026,13,2026-13-monza,max_verstappen,red_bull,VER,power-sensitive,0.259551,0.195033,0.54365,0.600433,0.325748,0.305338,0.00307,0.287722,0.276647,0.36586,0.447563,0.438477,0.493868,0.383504,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|russell,2026,13,2026-13-monza,russell,mercedes,RUS,power-sensitive,0.203671,0.201879,0.548789,0.611853,0.329747,0.316648,0.000822,0.291008,0.270962,0.37385,0.490383,0.440467,0.510075,0.411858,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|lawson,2026,13,2026-13-monza,lawson,red_bull,LAW,power-sensitive,0.217084,0.199614,0.55274,0.620349,0.327224,0.30352,0.003194,0.321759,0.269355,0.371467,0.486932,0.44103,0.509206,0.417077,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|piastri,2026,13,2026-13-monza,piastri,mclaren,PIA,power-sensitive,0.388468,0.205184,0.54082,0.594393,0.325562,0.289245,0.006602,0.351666,0.301263,0.362105,0.493592,0.429862,0.511127,0.427352,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|arvid_lindblad,2026,13,2026-13-monza,arvid_lindblad,rb,,power-sensitive,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.360304,0.519267,0.4375,0.0,fallback,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
2026-13-monza|bortoleto,2026,13,2026-13-monza,bortoleto,audi,BOR,power-sensitive,0.341628,0.209374,0.560618,0.637993,0.328872,0.311915,0.003474,0.294903,0.299013,0.379872,0.502235,0.430649,0.517973,0.445562,0.55,historical_prior,"derived from precomputed FastF1 telemetry features; energy fields are proxy only, not true ERS/battery state",strategy_lab_telemetry_signals_v1
