id,season,round,race_id,race_name,track_archetype,straight_line_weight,braking_weight,traction_weight,degradation_weight,track_position_weight,archetype_confidence,formula_note,source_label
australian-grand-prix,,,australian-grand-prix,Australian Grand Prix,power-sensitive,0.741667,0.225,0.220833,0.2625,0.285083,0.81875,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
austrian-grand-prix,,,austrian-grand-prix,Austrian Grand Prix,braking-heavy,0.425,0.720833,0.291667,0.25,0.480583,0.77375,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
barcelona-grand-prix,,,barcelona-grand-prix,Barcelona Grand Prix,braking-heavy,0.529167,0.770833,0.720833,0.245833,0.56375,0.8225,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
belgian-grand-prix,,,belgian-grand-prix,Belgian Grand Prix,power-sensitive,0.875,0.358333,0.370833,0.779167,0.40575,0.815,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
british-grand-prix,,,british-grand-prix,British Grand Prix,power-sensitive,0.570833,0.191667,0.304167,0.4,0.360167,0.69125,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
canadian-grand-prix,,,canadian-grand-prix,Canadian Grand Prix,high-degradation,0.375,0.5625,0.35,0.670833,0.490583,0.63875,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
chinese-grand-prix,,,chinese-grand-prix,Chinese Grand Prix,high-degradation,0.55,0.7,0.779167,0.779167,0.561917,0.55625,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
dutch-grand-prix,,,dutch-grand-prix,Dutch Grand Prix,high-degradation,0.4625,0.608333,0.5,0.733333,0.63625,0.59375,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
hungarian-grand-prix,,,hungarian-grand-prix,Hungarian Grand Prix,high-degradation,0.283333,0.7625,0.55,0.804167,0.753417,0.81875,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
japanese-grand-prix,,,japanese-grand-prix,Japanese Grand Prix,power-sensitive,0.733333,0.5125,0.454167,0.4375,0.388833,0.66005,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
miami-grand-prix,,,miami-grand-prix,Miami Grand Prix,power-sensitive,0.745833,0.3625,0.558333,0.6,0.390667,0.695,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
monaco-grand-prix,,,monaco-grand-prix,Monaco Grand Prix,braking-heavy,0.208333,0.725,0.65,0.5375,0.648,0.815,"normalized telemetry-feature archetype; approximate circuit segmentation, bounded multi-label weights",strategy_lab_track_archetype_v2
