season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,braking_start_distance_m,braking_duration_s,braking_distance_m,min_speed_during_brake_kph,brake_intensity_proxy,late_brake_score
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,277.127,1.32,76.056,175.0,0.3158,0.0
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1057.467,0.88,27.633,107.0,0.1154,0.0
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3206.33,0.639,44.059,242.0,0.1333,0.2554
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3997.818,1.88,101.822,140.0,0.3684,0.2447
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4297.762,0.28,17.967,231.0,0.0667,0.3685
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4515.852,2.36,95.722,105.0,0.3462,0.2218
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,281.857,1.241,70.129,177.0,0.2778,0.0
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1051.915,1.0,36.011,110.0,0.1818,0.0
