season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,entry_speed_kph,apex_speed_kph,exit_speed_kph,min_speed_kph,entry_gear,apex_gear,exit_gear,speed_delta_vs_session_best,speed_delta_vs_teammate
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,212.0,153.0,220.25,153.0,5.0,3.0,5.0,11.0,-1.8
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,112.2,97.0,161.8,97.0,2.0,2.0,3.0,4.0,-4.2
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,211.0,204.0,233.0,204.0,5.0,4.0,5.0,6.0,-8.85
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,267.0,208.0,211.333,208.0,7.0,5.0,5.0,19.0,3.45
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,260.333,114.0,171.333,114.0,7.0,2.0,4.0,0.0,-5.1
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,195.0,180.0,201.0,180.0,4.0,4.0,4.0,16.0,5.0
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,191.8,88.0,146.0,88.0,4.0,2.0,3.0,6.0,-1.2
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,168.333,162.0,261.667,162.0,4.0,4.0,6.0,13.0,-3.3
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,207.25,150.0,215.25,150.0,6.0,3.0,5.0,14.0,1.2
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,111.8,93.0,173.4,93.0,2.0,2.0,4.0,8.0,-0.2
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,195.5,191.0,234.5,191.0,4.0,4.0,6.0,19.0,4.15
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,258.0,193.0,195.333,193.0,7.0,4.0,4.0,34.0,18.45
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,245.5,111.0,172.0,111.0,7.0,2.0,4.0,3.0,-2.1
