season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,throttle_pickup_distance_m,throttle_pickup_time_s,full_throttle_exit_distance_m,traction_exit_score
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,357.905,4.961,470.649,0.8842
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1089.856,16.841,1289.057,0.892
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1320.146,22.361,1320.146,1.0
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3145.893,46.161,3145.893,0.5452
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3936.651,57.081,4186.584,0.5635
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4207.807,62.721,4207.807,0.9228
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4461.54,66.961,4461.54,0.496
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4722.864,73.481,4805.198,1.0
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,363.52,5.184,417.417,0.9708
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1099.554,17.384,1273.342,0.96
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1316.253,22.503,1316.253,1.0
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3149.023,47.143,3149.023,0.6117
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3937.893,58.184,3937.893,0.6608
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4207.666,63.864,4207.666,0.9911
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4456.73,68.023,4456.73,0.4473
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4727.611,74.823,4785.533,1.0
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,370.175,5.328,450.535,0.9917
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1097.316,16.728,1265.252,1.0
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1319.197,21.649,1319.197,1.0
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3148.005,45.128,3148.005,0.5272
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3940.133,55.689,3940.133,0.6233
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4210.681,61.169,4210.681,0.928
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4455.671,65.128,4455.671,0.4786
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4718.381,71.328,4796.746,1.0
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,359.586,5.198,405.375,0.9409
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1080.243,16.798,1264.854,0.976
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1329.121,22.598,1329.121,1.0
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3157.977,46.238,3157.977,0.5483
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4093.376,59.758,4146.854,0.6454
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4207.032,62.439,4207.032,1.0
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4466.767,66.758,4466.767,0.4737
2026,1,Australian Grand Prix,Q,BEA,17,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4719.887,73.078,4799.231,1.0
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,364.728,5.171,403.795,0.891
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1094.073,16.851,1148.828,0.988
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1324.283,22.251,1324.283,1.0
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3147.882,45.851,3147.882,0.7055
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3943.869,56.571,4158.889,0.6376
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4206.334,62.052,4206.334,0.813
