season,round,event,session,corner_id,driver,reference_driver,apex_speed_delta_kph,entry_speed_delta_kph,exit_speed_delta_kph,comparison_scope
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,HAM,HAM,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,RUS,HAM,0.0,-37.0,-7.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,LEC,HAM,3.0,-9.0,-7.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,PIA,HAM,3.0,-8.667,-11.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,NOR,HAM,5.0,-16.333,23.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,HAD,HAM,7.0,-44.667,-5.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,ANT,HAM,8.0,7.0,-2.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,ALB,HAM,9.0,-10.667,5.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,ALO,HAM,10.0,3.0,2.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,LIN,HAM,12.0,-18.667,-1.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,BOR,HAM,13.0,-1.333,-2.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,HUL,HAM,14.0,4.25,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,LAW,HAM,15.0,4.667,-8.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,OCO,HAM,16.0,8.0,-4.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,COL,HAM,17.0,16.25,3.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,BEA,HAM,19.0,7.667,-2.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,GAS,HAM,19.0,3.25,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,PER,HAM,21.0,27.0,15.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_02,BOT,HAM,30.0,12.333,6.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,HAM,HAM,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,ANT,HAM,2.0,-5.333,-5.733,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,NOR,HAM,3.0,-2.6,1.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,LEC,HAM,4.0,2.75,-2.4,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,RUS,HAM,4.0,0.0,-7.4,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,ALO,HAM,6.0,-0.5,13.6,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,HUL,HAM,7.0,2.0,-0.65,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,PIA,HAM,8.0,5.2,-6.8,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,OCO,HAM,9.0,-1.4,15.2,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,BEA,HAM,9.0,4.0,2.6,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,BOR,HAM,9.0,0.6,0.6,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,HAD,HAM,10.0,0.75,2.1,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,ALB,HAM,11.0,5.6,13.2,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,GAS,HAM,11.0,-4.5,18.35,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,LIN,HAM,11.0,6.4,-8.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,COL,HAM,12.0,5.5,-2.9,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,PER,HAM,13.0,11.4,12.8,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,BOT,HAM,14.0,11.0,6.4,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_05,LAW,HAM,17.0,4.2,3.2,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,PIA,PIA,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,HAM,PIA,1.0,3.5,2.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,PER,PIA,2.0,4.5,8.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,RUS,PIA,2.0,6.5,-0.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,LEC,PIA,3.0,3.333,3.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,ANT,PIA,3.0,7.5,-0.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,BEA,PIA,3.0,5.0,6.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,LIN,PIA,5.0,7.0,10.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,NOR,PIA,6.0,3.0,0.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,BOR,PIA,6.0,8.333,8.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,COL,PIA,6.0,7.0,3.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,HAD,PIA,11.0,8.667,4.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,BOT,PIA,12.0,12.333,18.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,OCO,PIA,12.0,16.0,9.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,ALB,PIA,14.0,14.5,2.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,LAW,PIA,14.0,14.667,14.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,HUL,PIA,14.0,15.0,13.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,GAS,PIA,19.0,18.0,1.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_06,ALO,PIA,25.0,22.667,14.667,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,RUS,RUS,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,LEC,RUS,2.0,1.667,4.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,ANT,RUS,2.0,8.0,1.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,BEA,RUS,3.0,-16.333,4.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,NOR,RUS,3.0,9.0,3.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,PIA,RUS,5.0,19.667,0.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,BOR,RUS,6.0,4.0,2.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,HAM,RUS,6.0,4.0,7.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,COL,RUS,7.0,9.0,11.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,OCO,RUS,7.0,-19.0,11.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,HAD,RUS,8.0,5.5,7.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,LIN,RUS,11.0,-6.5,6.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,LAW,RUS,11.0,-12.0,9.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,HUL,RUS,13.0,-11.0,17.5,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,ALB,RUS,15.0,0.667,8.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,ALO,RUS,18.0,14.667,20.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,GAS,RUS,18.0,-4.0,18.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,PER,RUS,28.0,-0.333,30.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_13,BOT,RUS,34.0,-4.0,36.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,HAM,HAM,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,LEC,HAM,0.0,9.333,-11.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,HAD,HAM,1.0,-6.0,7.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,ANT,HAM,2.0,-11.0,-1.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,ALB,HAM,3.0,-5.333,2.334,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,BOR,HAM,3.0,-1.5,-7.083,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,NOR,HAM,4.0,2.25,-2.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,BEA,HAM,4.0,8.5,-2.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,RUS,HAM,5.0,-8.0,8.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,HUL,HAM,5.0,-13.75,-4.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,LIN,HAM,5.0,-3.333,-3.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,PIA,HAM,6.0,-5.75,-4.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,OCO,HAM,7.0,4.25,6.417,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,LAW,HAM,7.0,-2.5,-0.083,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,ALO,HAM,9.0,-3.333,-7.333,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,GAS,HAM,9.0,-12.25,0.417,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,PER,HAM,10.0,27.5,-6.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,COL,HAM,11.0,-3.0,9.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_16,BOT,HAM,16.0,33.0,-18.083,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_17,ANT,ANT,0.0,0.0,0.0,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_17,NOR,ANT,1.0,2.667,-5.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_17,BOT,ANT,2.0,1.0,2.167,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_17,PER,ANT,3.0,2.333,1.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_17,ALO,ANT,3.0,5.0,-2.833,session_best
2026,1,Australian Grand Prix,Q,australian-grand-prix_corner_17,LIN,ANT,3.0,5.5,-4.0,session_best
