season,round,event,session,driver,lap_number,compound,stint,segment_id,entry_speed_kph,terminal_speed_kph,acceleration_score,drs_active_pct,clipping_proxy_score,segmentation_confidence
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_01,289.0,281.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_09,278.5,303.5,0.2083,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_10,306.5,317.5,0.0917,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_11,320.0,314.0,0.0,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_12,310.0,285.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_15,281.5,289.0,0.0625,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,ALB,16,SOFT,,australian-grand-prix_straight_20,272.0,293.0,0.175,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_01,282.0,279.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_09,273.5,296.0,0.1875,0.0,0.2,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_10,299.0,309.0,0.0833,0.0,1.0,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_11,309.0,310.0,0.0083,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_12,308.0,269.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_15,281.0,285.0,0.0333,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,ALO,9,SOFT,,australian-grand-prix_straight_20,271.5,294.5,0.1917,0.0,0.0667,0.55
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_straight_01,281.0,281.5,0.0042,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,ANT,17,SOFT,,australian-grand-prix_straight_09,283.0,298.5,0.1292,0.0,0.4667,0.55
