season,round,event,session,driver,lap_number,compound,stint,lap_time_s,max_speed_kph,avg_speed_kph,full_throttle_pct,braking_pct,avg_rpm,max_rpm,drs_pct,distance_covered_m,telemetry_quality_score
2026,1,Australian Grand Prix,R,ALB,36,SOFT,,84.08,312.0,223.133,48.101,18.038,10865.095,13036.0,0.0,5201.62,0.9
2026,1,Australian Grand Prix,R,ALO,15,SOFT,,85.24,309.0,218.679,60.856,12.538,10394.425,11611.0,0.0,5180.35,0.9
2026,1,Australian Grand Prix,R,ANT,57,HARD,,81.921,319.0,229.314,57.862,14.465,10762.824,12439.0,0.0,5194.524,0.9
2026,1,Australian Grand Prix,R,BEA,22,HARD,,83.76,326.0,223.595,53.156,19.601,10772.718,12070.0,0.0,5192.215,0.9
2026,1,Australian Grand Prix,R,BOR,45,HARD,,83.0,320.0,227.152,60.645,13.871,10724.706,12528.0,0.0,5208.932,0.9
2026,1,Australian Grand Prix,R,BOT,8,HARD,,87.0,324.0,213.368,55.66,14.465,10471.261,11834.0,0.0,5162.047,0.9
2026,1,Australian Grand Prix,R,COL,48,SOFT,,82.521,343.0,230.385,56.522,17.057,10908.712,12293.0,0.0,5201.567,0.9
2026,1,Australian Grand Prix,R,GAS,56,HARD,,84.28,320.0,227.178,60.923,21.231,10896.102,12525.0,0.0,5255.48,0.9
2026,1,Australian Grand Prix,R,HAD,9,MEDIUM,,84.88,307.0,220.019,53.583,9.969,10536.826,12089.0,0.0,5178.637,0.9
2026,1,Australian Grand Prix,R,HAM,55,HARD,,82.241,324.0,229.098,58.17,13.072,10779.48,12210.0,0.0,5202.321,0.9
2026,1,Australian Grand Prix,R,LAW,47,SOFT,,83.561,322.0,224.692,57.692,14.103,10895.199,12397.0,0.0,5200.583,0.9
2026,1,Australian Grand Prix,R,LEC,38,HARD,,82.119,321.0,227.752,53.268,13.072,10790.977,12206.0,0.0,5190.845,0.9
2026,1,Australian Grand Prix,R,LIN,21,HARD,,83.96,326.0,221.183,52.412,16.72,10783.357,12130.0,0.0,5207.93,0.9
2026,1,Australian Grand Prix,R,NOR,53,MEDIUM,,82.161,318.0,227.538,54.426,10.492,10835.79,12298.0,0.0,5208.244,0.9
2026,1,Australian Grand Prix,R,OCO,25,HARD,,84.2,325.0,221.227,52.396,15.016,10622.786,11973.0,0.0,5199.073,0.9
2026,1,Australian Grand Prix,R,PER,47,SOFT,,85.68,321.0,215.341,55.205,13.565,10220.174,12016.0,0.0,5165.658,0.9
2026,1,Australian Grand Prix,R,RUS,21,HARD,,82.16,324.0,226.293,56.678,18.567,10648.091,12346.0,0.0,5162.954,0.9
2026,1,Australian Grand Prix,R,SAI,52,SOFT,,83.081,316.0,223.456,54.397,15.961,10967.935,12655.0,0.0,5166.211,0.9
2026,1,Australian Grand Prix,R,STR,36,SOFT,,85.12,309.0,222.051,66.346,26.923,10627.776,12588.0,0.0,5218.161,0.9
2026,1,Australian Grand Prix,R,VER,43,HARD,,81.84,323.0,229.038,55.911,13.419,10651.288,12129.0,0.0,5213.973,0.9
2026,2,Chinese Grand Prix,R,ALO,25,HARD,,99.24,318.0,205.488,60.422,25.33,10432.266,11819.0,0.0,5618.588,0.9
2026,2,Chinese Grand Prix,R,ANT,52,HARD,,95.08,321.0,202.602,49.02,21.008,10437.661,12065.0,0.0,5372.419,0.9
2026,2,Chinese Grand Prix,R,BEA,56,HARD,,96.16,327.0,202.333,46.341,20.596,10577.501,12253.0,0.0,5371.401,0.9
